Phi,Psi
-92.113,-150.414
-92.405,-150.709
-92.168,-150.211
-91.997,-150.385
-92.052,-150.506
-92.488,-150.211
-92.971,-149.508
-92.18,-150.623
-91.691,-151.13
-91.757,-150.374
-92.999,-149.863
-92.101,-150.552
-92.442,-150.196
-92.308,-150.147
-92.214,-150.316
-92.341,-150.047
-92.348,-149.734
-92.542,-149.938
-92.534,-150.026
-92.774,-149.787
-92.024,-150.968
-92.505,-150.294
-92.341,-150.601
-91.889,-151.203
-91.843,-150.911
-92.454,-150.04
-91.669,-150.727
-91.605,-151.162
-92.044,-150.484
-92.228,-150.091
-92.788,-149.925
-92.614,-150.22
-91.651,-150.846
-91.731,-150.109
-92.348,-150.697
-92.725,-150.058
-92.654,-149.81
-92.86,-150.139
-91.893,-150.488
-92.413,-149.589
-91.419,-150.908
-92.463,-150.225
-92.137,-150.838
-91.092,-151.354
-91.612,-150.249
-92.974,-149.617
-91.371,-150.908
-92.635,-150.057
-92.995,-150.033
-91.487,-150.52
-92.146,-149.941
-91.614,-151.071
-92.323,-150.229
-91.954,-150.25
-92.924,-150.376
-92.403,-149.628
-91.83,-150.477
-92.191,-150.136
-91.638,-151.116
-91.77,-150.562
-92.424,-150.49
-92.701,-150.588
-91.271,-150.824
-92.373,-150.255
-92.131,-149.785
-92.508,-150.86
-92.936,-150.308
-92.734,-150.039
-92.347,-150.031
-92.159,-149.649
-92.302,-150.776
-92.127,-149.923
-91.842,-150.138
-92.057,-149.636
-91.619,-150.125
-91.885,-150.85
-91.323,-149.977
-93.685,-149.149
-92.279,-150.122
-92.127,-150.023
-92.421,-150.056
-91.885,-150.514
-92.513,-150.599
-92.041,-150.42
-91.906,-150.742
-92.522,-150.077
-92.261,-150.58
-93.419,-149.763
-92.555,-149.515
-92.898,-149.603
-91.612,-150.406
-92.544,-150.251
-92.338,-150.255
-91.672,-150.444
-92.078,-149.837
-92.38,-150.253
-91.55,-150.684
-92.639,-149.209
-91.994,-150.882
-92.398,-150.275
-92.144,-150.197
-92.975,-149.66
-92.23,-150.403
-92.216,-150.025
-91.993,-150.137
-92.236,-150.105
-92.238,-150.139
-91.729,-151.444
-92.461,-149.983
-92.152,-150.24
-92.979,-149.727
-91.345,-151.136
-92.147,-150.747
-92.469,-150.047
-92.356,-150.081
-92.919,-149.7
-92.597,-150.415
-91.988,-150.682
-91.862,-150.008
-93.32,-149.682
-92.111,-150.518
-91.236,-150.787
-92.075,-150.832
-91.18,-151.066
-91.431,-150.656
-91.577,-150.333
-92.623,-149.938
-92.177,-150.658
-92.589,-150.342
-92.097,-150.796
-92.17,-150.341
-92.313,-149.843
-91.852,-150.564
-91.319,-151.11
-92.125,-150.498
-91.873,-150.521
-92.558,-149.81
-92.983,-149.6
-93.283,-149.004
-92.574,-150.201
-91.969,-150.756
-92.484,-149.891
-92.157,-150.189
-92.53,-150.104
-92.142,-150.759
-91.62,-151.35
-92.273,-150.033
-92.742,-150.458
-91.823,-150.706
-92.159,-150.111
-92.498,-149.911
-93.158,-150.043
-92.142,-150.617
-92.81,-149.566
-91.898,-149.951
-92.336,-149.886
-92.658,-150.259
-92.242,-150.658
-92.412,-150.12
-92.357,-150.599
-92.262,-150.444
-91.68,-151.203
-91.339,-150.584
-92.155,-150.878
-92.628,-150.275
-91.662,-151.24
-91.922,-150.318
-92.469,-150.737
-90.888,-151.184
-91.502,-150.646
-92.37,-150.306
-91.591,-150.593
-92.422,-150.793
-91.48,-150.618
-92.753,-150.475
-92.646,-150.613
-92.332,-149.757
-91.584,-150.853
-91.723,-150.706
-92.63,-149.943
-92.009,-150.516
-91.345,-151.053
-92.052,-150.18
-91.715,-150.593
-92.803,-150.029
-92.207,-150.638
-92.382,-150.448
-92.075,-150.599
-92.573,-150.579
-92.323,-149.985
-92.261,-150.885
-92.734,-150.154
-92.575,-150.282
-91.561,-150.563
-92.716,-150.266
-92.449,-150.708
-92.259,-150.584
-91.972,-150.449
-92.168,-149.954
-91.498,-150.914
-92.057,-150.391
-91.854,-150.695
-92.789,-149.685
-91.836,-150.163
-92.229,-150.678
-92.404,-150.734
-91.261,-150.601
-92.269,-149.751
-91.552,-150.619
-92.05,-150.649
-91.859,-150.413
-91.506,-150.633
-91.749,-150.535
-92.374,-150.112
-91.515,-150.474
-91.946,-151.159
-92.015,-150.404
-92.09,-150.137
-91.79,-150.615
-92.115,-150.041
-91.612,-150.589
-92.28,-150.662
-93.033,-149.481
-91.939,-149.865
-92.103,-150.424
-92.298,-150.193
-92.268,-149.948
-92.158,-150.416
-92.044,-150.756
-91.772,-150.527
-92.324,-150.908
-92.1,-150.813
-92.319,-149.418
-92.277,-149.945
-92.504,-150.178
-91.816,-151.238
-92.56,-149.463
-92.293,-151.078
-92.25,-151.269
-92.714,-149.915
-92.162,-150.983
-91.39,-151.077
-92.227,-149.721
-91.975,-150.803
-91.925,-150.348
-91.375,-150.721
-91.797,-150.324
-91.994,-150.387
-91.034,-150.962
-91.336,-150.463
-92.746,-150.432
-92.491,-150.319
-91.974,-150.432
-91.562,-151.171
-91.485,-150.161
-92.458,-149.874
-92.275,-150.349
-92.518,-150.125
-92.627,-150.118
-93.698,-149.565
-92.11,-150.795
-93.249,-150.371
-91.742,-150.903
-93.17,-149.155
-92.598,-149.698
-92.164,-150.486
-91.691,-149.906
-92.127,-149.958
-91.55,-150.332
-91.63,-150.794
-92.451,-150.656
-92.275,-149.434
-92.788,-150.181
-93.31,-150.006
-91.579,-150.62
-92.568,-150.208
-92.739,-149.816
-91.833,-150.352
-92.126,-150.434
-92.068,-149.991
-92.586,-150.262
-91.756,-150.992
-92.712,-149.909
-91.145,-150.607
-92.508,-149.69
-92.461,-149.818
-91.421,-150.55
-92.345,-150.671
-92.199,-150.338
-92.693,-149.99
-92.37,-150.182
-90.425,-150.95
-92.05,-150.544
-92.718,-150.572
-92.612,-149.82
-92.088,-150.251
-92.732,-150.807
-91.356,-151.133
-92.071,-151.161
-92.431,-149.914
-91.941,-150.062
-92.208,-150.048
-92.464,-150.663
-93.095,-149.7
-92.453,-149.548
-92.627,-149.909
-91.677,-151.392
-93.175,-149.167
-92.493,-150.516
-92.081,-150.204
-91.8,-151.252
-92.197,-150.617
-93.397,-150.071
-92.527,-150.319
-92.236,-150.449
-92.273,-150.1
-92.392,-150.421
-93.463,-149.998
-91.739,-150.167
-91.766,-150.467
-92.454,-150.508
-92.135,-150.313
-91.425,-150.912
-92.268,-150.457
-92.723,-150.346
-92.346,-150.444
-92.077,-150.474
-92.012,-150.394
-91.729,-151.211
-92.466,-150.047
-92.545,-149.722
-91.926,-150.467
-92.365,-150.285
-91.421,-151.122
-91.593,-150.51
-91.593,-150.5
-92.369,-150.437
-91.883,-150.433
-92.629,-149.769
-91.954,-149.979
-92.745,-150.325
